Player,Club,POS,RACE,GP,GS,MINS,Fouls
Servando Carrasco,ORL,M,W,31,21,2001,37
Shaun Francis,SJ,D,B,18,17,1524,25
Shea Salinas,SJ,M,W,33,8,1223,12
Sheanon Williams,HOU,D,B,22,20,1807,25
Shkelzen Gashi,COL,M,W,26,25,2123,41
Simon Dawkins,SJ,M,B,29,28,2402,29
Soni Mustivar,SKC,M,B,25,24,2095,30
Steve Birnbaum,DC,D,W,26,26,2340,37
Steven Beitashour,TOR,D,W,29,29,2563,34
Steven Gerrard,LA,M,W,21,18,1491,20
Steven Mendoza,NYC,F,B,24,10,1139,13
Steven Taylor,POR,D,W,9,9,810,3
Sunday Stephen,RSL,M,B,15,15,1115,26
Taylor Kemp,DC,D,W,31,30,2745,38
Teal Bunbury,NE,F,B,27,19,1666,47
Tesho Akindele,DAL,F,B,31,15,1514,14
Thomas McNamara,NYC,M,W,30,28,2229,33
Tim Parker,VAN,D,W,29,28,2551,22
Tommy Redding,ORL,D,B,18,16,1346,10
Tommy Thompson,SJ,M,W,17,9,825,10
Tony Beltran,RSL,D,W,29,27,2468,40
Tony Tchani,CLB,M,B,21,20,1791,35
Tranquillo Barnetta,PHI,M,W,29,25,2311,36
Tsubasa Endoh,TOR,F,W,21,15,1387,9
Tyrone Mears,SEA,D,B,32,32,2835,33
Tyson Wahl,CLB,D,W,13,11,1014,14
Victor Bernardez,SJ,D,B,33,33,2835,40
Victor Cabrera,MTL,D,W,23,21,1925,26
Victor Ulloa,DAL,M,W,32,18,1639,21
Vincent Nogueira,PHI,M,W,8,8,684,6
Vytautas Andriuskevicius,POR,D,W,11,10,916,19
Walker Zimmerman,DAL,D,W,30,30,2700,38
Wandrille Lefevre,MTL,M,W,13,12,1114,15
Warren Creavalle,PHI,M,B,27,21,1807,33
Waylon Francis,CLB,D,B,19,13,1233,18
Wil Trapp,CLB,M,W,30,29,2543,34
Will Bruin,HOU,F,W,31,18,1554,22
Will Johnson,TOR,M,W,23,19,1660,21
Yura Movsisyan,RSL,F,W,29,25,2161,18
Zach Loyd,DAL,D,W,12,10,919,4
Zach Scott,SEA,D,W,14,9,886,7
Zarek Valentin,POR,D,W,20,18,1607,12
